primary,secondaries,trade,relatedTemplate,kd,volume,intent
# Rule (Aug 2026): before adding a row, check the slugified primary against seo/data.json guide slugs AND existing topics —
# near-duplicate keyword variants generate near-duplicate articles (13 retired in the Aug 2026 audit, commit 26aeef2).
how to quote a deck build,deck building cost australia|timber decking quote|composite decking price,carpenters,,22,320,informational
how to price a kitchen renovation,kitchen reno cost australia|cabinetry quoting|benchtop pricing,builders,,28,720,informational
how to quote concrete driveway,concrete driveway cost per m2|exposed aggregate pricing|driveway labour cost,concreters,,24,480,informational
how to quote roof replacement australia,colorbond roof cost|tile roof replacement price|metal roofing quote,roofers,,29,590,informational
how to quote tile and slate work,floor tiling cost per m2|tile waste factor|tile adhesive pricing,tilers,,18,210,informational
how to quote painting interior house,interior painting cost australia|paint coverage rates|primer pricing,painters,,21,390,informational
how to quote a solar panel installation,solar install cost australia|battery storage pricing|inverter quote,electricians,,32,890,informational
how to quote split system air conditioning,split system install cost|ducted aircon quote|aircon labour rates,hvac-technicians,,26,520,informational
how to quote insulation installation,ceiling insulation cost|wall insulation r-value|underfloor insulation price,builders,,17,180,informational
how to quote driveway pressure cleaning,driveway cleaning cost|pressure wash quote|concrete cleaning price,cleaners,,15,150,informational
how to quote tree removal,tree removal cost australia|stump grinding quote|arborist pricing,arborists,,23,610,informational
how to handle missed tradie calls,tradie missed calls|after hours tradie phone|small business missed calls,builders,,18,210,commercial
after hours plumber call out rates,emergency plumber rates australia|after hours call out fee|weekend plumber pricing,plumbers,,21,380,commercial
how tradies can stop losing leads,tradie lead generation|tradie phone leads|builder lead capture,builders,,16,170,commercial
how much should i charge for callout fees,tradie callout fee|service call charge|minimum job fee tradies,builders,,19,240,informational
how to quote bathroom waterproofing compliance,AS3740 waterproofing|wet area waterproofing cost|membrane application price,builders,bathroom-waterproofing-quote-template,17,160,informational
how to quote a carport build,carport cost australia|colorbond carport quote|double carport pricing,carpenters,,20,310,informational
how to quote epoxy floor coating,epoxy floor cost per m2|garage epoxy quote|polyaspartic flooring price,flooring-installers,epoxy-floor-coating-quote-template,18,200,informational
how to quote a laundry renovation,laundry reno cost australia|small laundry renovation|laundry cabinetry quote,builders,laundry-renovation-quote-template,15,140,informational
how to quote pool fencing installation,pool fence cost australia|glass pool fence quote|pool fence compliance,fencers,pool-fencing-quote-template,22,360,informational
how to quote rendering a house,house rendering cost|acrylic render price|cement render quote,renderers,render-house-quote-template,17,180,informational
how to quote LED downlight installation,led downlight install cost|dimmer switch quote|downlight rough in price,electricians,led-downlight-installation-quote-template,16,170,informational
how to quote termite treatment,termite treatment cost|chemical barrier price|termite warranty quote,pest-controllers,termite-treatment-quote-template,18,210,informational
how to quote a concrete slab,concrete slab cost per m2|house slab quote|shed slab pricing,concreters,concrete-slab-quote-template,21,330,informational
how to quote paving installation,paving cost per m2|brick paving quote|stone paving pricing,landscapers,paving-quote-template,19,260,informational
how to quote carpet cleaning,carpet cleaning cost australia|steam cleaning quote|stain removal price,cleaners,carpet-cleaning-quote-template,14,140,informational
how to quote bathroom tiling,bathroom tiling cost|wall tile quote|floor tile labour rate,tilers,bathroom-tiling-quote-template,17,190,informational
how to quote a garage door replacement,garage door cost australia|sectional door quote|roller door pricing,garage-door-installers,garage-door-replacement-quote-template,18,220,informational
